srcip;sport;dstip;dsport;proto;state;dur;sbytes;dbytes;sttl;dttl;sloss;dloss;service;Sload;Dload;Spkts;Dpkts;swin;dwin;stcpb;dtcpb;smeansz;dmeansz;trans_depth;res_bdy_len;Sjit;Djit;Stime;Ltime;Sintpkt;Dintpkt;tcprtt;synack;ackdat;is_sm_ips_ports;ct_state_ttl;ct_flw_http_mthd;is_ftp_login;ct_ftp_cmd;ct_srv_src;ct_srv_dst;ct_dst_ltm;ct_src_ ltm;ct_src_dport_ltm;ct_dst_sport_ltm;ct_dst_src_ltm;attack_cat;label
59.166.0.3;44759;149.171.126.1;53;udp;CON;0.001082;132;164;31;29;0;0;dns;4.879.852.188;6.062.846.875;2;2;0;0;0;0;66;82;0;0;0;0;1421927417;1421927417;0.017;0.012;0;0;0;0;0;0;0;0;7;8;1;1;1;1;1;;0
175.45.176.2;13792;149.171.126.16;5555;tcp;FIN;0.17519;8168;268;254;252;4;1;-;3.463.668.125;1.022.889.453;14;6;255;255;2505143795;3592239707;583;45;0;0;774.788.316;47.765.387;1421927417;1421927417;11.837.692;33.287;0.054878;0.008744;0.046134;0;1;0;0;0;1;1;1;1;1;1;1;Exploits;1
175.45.176.2;26939;149.171.126.10;80;tcp;FIN;0.1906;844;268;254;252;2;1;http;3.189.926.758;9.401.888.672;10;6;255;255;3006332195;1452987536;84;45;1;0;996.632.407;59.532.129;1421927418;1421927418;18.573.778;36.845.602;0.050675;0.006354;0.044321;0;1;1;0;0;3;1;1;1;1;1;1;Exploits;1
59.166.0.2;58304;149.171.126.4;53;udp;CON;0.001089;132;164;31;29;0;0;dns;4.848.484.688;602387.5;2;2;0;0;0;0;66;82;0;0;0;0;1421927418;1421927418;0.011;0.009;0;0;0;0;0;0;0;0;7;7;1;4;2;1;1;;0
59.166.0.8;7419;149.171.126.1;53;udp;CON;0.001126;132;164;31;29;0;0;dns;4.689.165.313;582593.25;2;2;0;0;0;0;66;82;0;0;0;0;1421927418;1421927418;0.017;0.012;0;0;0;0;0;0;0;0;8;8;3;1;1;1;1;;0
59.166.0.2;12527;149.171.126.1;23202;udp;CON;0.001859;528;304;31;29;0;0;-;1704142;9.811.726.875;4;4;0;0;0;0;132;76;0;0;0.662323;0.337295;1421927418;1421927418;0.475333;0.244;0;0;0;0;0;0;0;0;5;3;3;4;1;1;2;;0
59.166.0.1;52335;149.171.126.9;53;udp;CON;0.001152;132;164;31;29;0;0;dns;4.583.333.125;5.694.444.375;2;2;0;0;0;0;66;82;0;0;0;0;1421927418;1421927418;0.011;0.009;0;0;0;0;0;0;0;0;6;4;1;1;1;1;1;;0
59.166.0.2;39558;149.171.126.1;111;udp;CON;0.004996;568;312;31;29;0;0;-;682145.75;3.746.997.813;4;4;0;0;0;0;142;78;0;0;1.838.719;1.588.406;1421927418;1421927418;1.312.667;1.137.667;0;0;0;0;0;0;0;0;5;3;3;4;1;1;2;;0
59.166.0.2;47526;149.171.126.5;53;udp;CON;0.001044;146;178;31;29;0;0;dns;5.593.869.375;6.819.923.125;2;2;0;0;0;0;73;89;0;0;0;0;1421927418;1421927418;0.018;0.011;0;0;0;0;0;0;0;0;7;9;1;4;2;1;1;;0
59.166.0.3;54634;149.171.126.3;53;udp;CON;0.001089;132;164;31;29;0;0;dns;4.848.484.688;602387.5;2;2;0;0;0;0;66;82;0;0;0;0;1421927418;1421927418;0.018;0.013;0;0;0;0;0;0;0;0;7;4;1;1;1;1;1;;0
59.166.0.4;26778;149.171.126.6;53;udp;CON;0.001122;146;178;31;29;0;0;dns;5.204.990.938;6.345.810.625;2;2;0;0;0;0;73;89;0;0;0;0;1421927418;1421927418;0.017;0.012;0;0;0;0;0;0;0;0;5;7;1;1;1;1;1;;0
59.166.0.6;60756;149.171.126.2;53;udp;CON;0.001201;130;162;31;29;0;0;dns;4.329.725.313;539.550.375;2;2;0;0;0;0;65;81;0;0;0;0;1421927418;1421927418;0.019;0.016;0;0;0;0;0;0;0;0;12;3;1;1;1;1;1;;0
59.166.0.6;25689;149.171.126.4;53;udp;CON;0.001079;132;164;31;29;0;0;dns;489342;607.970.375;2;2;0;0;0;0;66;82;0;0;0;0;1421927419;1421927419;0.011;0.008;0;0;0;0;0;0;0;0;12;7;1;2;2;1;1;;0
59.166.0.1;16931;149.171.126.3;38340;udp;CON;0.001864;528;304;31;29;0;0;-;1.699.570.875;978540.75;4;4;0;0;0;0;132;76;0;0;0.661617;0.338476;1421927419;1421927419;0.474333;0.244333;0;0;0;0;0;0;0;0;8;2;2;3;1;1;2;;0
59.166.0.1;15133;149.171.126.3;111;udp;CON;0.0051;568;312;31;29;0;0;-;668235.25;3.670.588.125;4;4;0;0;0;0;142;78;0;0;1.869.125;1.620.926;1421927419;1421927419;1.332.667;1.156.667;0;0;0;0;0;0;0;0;8;2;2;3;1;1;2;;0
59.166.0.2;58771;149.171.126.8;53;udp;CON;0.001123;132;164;31;29;0;0;dns;4.701.691.563;5.841.495.625;2;2;0;0;0;0;66;82;0;0;0;0;1421927419;1421927419;0.012;0.008;0;0;0;0;0;0;0;0;7;6;1;1;1;1;1;;0
59.166.0.5;13903;149.171.126.7;53;udp;CON;0.001112;132;164;31;29;0;0;dns;4.748.201.563;5.899.280.625;2;2;0;0;0;0;66;82;0;0;0;0;1421927419;1421927419;0.018;0.016;0;0;0;0;0;0;0;0;6;8;1;1;1;1;1;;0
59.166.0.1;24551;149.171.126.5;53;udp;CON;0.001066;132;164;31;29;0;0;dns;4.953.095.938;615.384.625;2;2;0;0;0;0;66;82;0;0;0;0;1421927419;1421927419;0.011;0.008;0;0;0;0;0;0;0;0;6;9;2;3;1;1;1;;0
59.166.0.6;10510;149.171.126.5;53;udp;CON;0.001108;130;162;31;29;0;0;dns;4.693.140.625;584837.5;2;2;0;0;0;0;65;81;0;0;0;0;1421927419;1421927419;0.017;0.012;0;0;0;0;0;0;0;0;12;9;2;2;2;1;1;;0
175.45.176.0;39500;149.171.126.15;80;tcp;FIN;0.177449;1214;268;254;252;2;1;http;4.927.612.891;1.009.867.578;10;6;255;255;366102997;2277661750;121;45;1;0;1.020.236.764;62.002.961;1421927419;1421927419;19.203.667;34.071.199;0.05198;0.007076;0.044904;0;1;1;0;0;5;2;1;1;1;1;1;DoS;1
175.45.176.0;29309;149.171.126.14;3000;tcp;FIN;0.19491;844;268;254;252;2;1;-;3.119.388.281;9.193.986.328;10;6;255;255;257622786;1677629526;84;45;0;0;1.071.497.007;61.076.766;1421927420;1421927420;19.932.667;37.800.801;0.050128;0.005888;0.04424;0;1;0;0;0;1;1;1;1;1;1;1;Generic;1
59.166.0.1;31564;149.171.126.8;55173;udp;CON;0.011205;528;304;31;29;0;0;-;2.827.309.375;1.627.844.688;4;4;0;0;0;0;132;76;0;0;0.625554;474.233;1421927420;1421927420;0.449333;3.361.333;0;0;0;0;0;0;0;0;8;2;2;2;1;1;2;;0
59.166.0.8;44119;149.171.126.2;53;udp;CON;0.001091;130;162;31;29;0;0;dns;4.766.269.375;593950.5;2;2;0;0;0;0;65;81;0;0;0;0;1421927420;1421927420;0.011;0.008;0;0;0;0;0;0;0;0;8;3;3;2;2;1;1;;0
59.166.0.9;41515;149.171.126.5;53;udp;CON;0.001091;130;162;31;29;0;0;dns;4.766.269.375;593950.5;2;2;0;0;0;0;65;81;0;0;0;0;1421927420;1421927420;0.011;0.008;0;0;0;0;0;0;0;0;5;9;2;1;1;1;1;;0
59.166.0.2;32716;149.171.126.7;53;udp;CON;0.001135;132;164;31;29;0;0;dns;4.651.982.188;5.779.735.625;2;2;0;0;0;0;66;82;0;0;0;0;1421927420;1421927420;0.011;0.008;0;0;0;0;0;0;0;0;7;8;1;1;1;1;1;;0
59.166.0.3;40309;149.171.126.1;53;udp;CON;0.001105;132;164;31;29;0;0;dns;4.778.280.313;593.665.125;2;2;0;0;0;0;66;82;0;0;0;0;1421927420;1421927420;0.011;0.008;0;0;0;0;0;0;0;0;7;8;2;1;1;1;1;;0
59.166.0.8;47061;149.171.126.1;53;udp;CON;0.001087;146;178;31;29;0;0;dns;537258.5;6.550.138.125;2;2;0;0;0;0;73;89;0;0;0;0;1421927420;1421927420;0.011;0.008;0;0;0;0;0;0;0;0;8;8;2;2;2;1;1;;0
59.166.0.1;29622;149.171.126.8;111;udp;CON;0.040337;568;312;31;29;0;0;-;844.881.875;4.640.900.391;4;4;0;0;0;0;142;78;0;0;11.786.999;18.234.869;1421927420;1421927420;8.349.667;12.905;0;0;0;0;0;0;0;0;8;2;2;2;1;1;2;;0
59.166.0.5;30507;149.171.126.2;32859;udp;CON;0.0314;520;304;31;29;0;0;-;993.630.625;5.808.917.578;4;4;0;0;0;0;130;76;0;0;7.678.237;10.358.879;1421927420;1421927420;5.437.333;7.331.333;0;0;0;0;0;0;0;0;2;2;3;3;1;1;2;;0
59.166.0.5;56644;149.171.126.2;111;udp;CON;0.060192;568;304;31;29;0;0;-;5.661.882.031;303.030.293;4;4;0;0;0;0;142;76;0;0;21.212.496;27.670.975;1421927420;1421927420;15.011;19.576.334;0;0;0;0;0;0;0;0;2;2;3;3;1;1;2;;0
59.166.0.5;49910;149.171.126.5;53;udp;CON;0.001044;130;162;31;29;0;0;dns;4.980.842.813;620.689.625;2;2;0;0;0;0;65;81;0;0;0;0;1421927420;1421927420;0.011;0.008;0;0;0;0;0;0;0;0;6;9;2;3;1;1;1;;0
59.166.0.2;36701;149.171.126.7;111;udp;CON;0.004565;568;304;31;29;0;0;-;7.465.498.125;399.561.875;4;4;0;0;0;0;142;76;0;0;1.722.279;1.432.127;1421927421;1421927421;1.225.333;1.020.667;0;0;0;0;0;0;0;0;5;4;5;3;1;1;2;;0
59.166.0.6;15807;149.171.126.7;53;udp;CON;0.001118;132;164;31;29;0;0;dns;4.722.719.063;5.867.620.625;2;2;0;0;0;0;66;82;0;0;0;0;1421927421;1421927421;0.012;0.008;0;0;0;0;0;0;0;0;12;8;5;3;3;2;2;;0
59.166.0.6;57983;149.171.126.0;53;udp;CON;0.00112;132;164;31;29;0;0;dns;4.714.285.625;585714.25;2;2;0;0;0;0;66;82;0;0;0;0;1421927421;1421927421;0.018;0.016;0;0;0;0;0;0;0;0;12;9;3;3;3;1;1;;0
59.166.0.6;15807;149.171.126.7;53;udp;CON;0.001118;132;164;31;29;0;0;dns;4.722.719.063;5.867.620.625;2;2;0;0;0;0;66;82;0;0;0;0;1421927421;1421927421;0.012;0.008;0;0;0;0;0;0;0;0;12;8;5;3;3;2;2;;0
59.166.0.2;62824;149.171.126.7;14455;udp;CON;0.001775;520;304;31;29;0;0;-;1757746.5;1.027.605.625;4;4;0;0;0;0;130;76;0;0;0.645117;0.309251;1421927421;1421927421;0.461667;0.223667;0;0;0;0;0;0;0;0;5;4;5;3;1;1;2;;0
59.166.0.1;26719;149.171.126.0;53;udp;CON;0.001087;146;178;31;29;0;0;dns;537258.5;6.550.138.125;2;2;0;0;0;0;73;89;0;0;0;0;1421927421;1421927421;0.011;0.008;0;0;0;0;0;0;0;0;6;9;3;1;1;1;1;;0
59.166.0.7;57137;149.171.126.7;53;udp;CON;0.001111;132;164;31;29;0;0;dns;4.752.475.313;5.904.590.625;2;2;0;0;0;0;66;82;0;0;0;0;1421927421;1421927421;0.017;0.013;0;0;0;0;0;0;0;0;6;8;5;1;1;1;1;;0
59.166.0.2;19393;149.171.126.0;53;udp;CON;0.001118;132;164;31;29;0;0;dns;4.722.719.063;5.867.620.625;2;2;0;0;0;0;66;82;0;0;0;0;1421927421;1421927421;0.011;0.009;0;0;0;0;0;0;0;0;7;9;3;3;1;1;1;;0
175.45.176.0;61089;149.171.126.18;80;tcp;FIN;0.291485;804;948;62;252;2;2;http;1.987.066.211;2.277.990.234;10;8;255;255;680695067;4039411526;80;119;1;72;1.595.821.133;57.742.824;1421927421;1421927421;32.387.222;39.581.855;0.062967;0.013476;0.049491;0;1;1;0;0;5;2;1;1;1;1;1;Exploits;1
175.45.176.0;23910;149.171.126.15;80;tcp;FIN;259.291;2082;268;254;252;6;1;http;5.967.041.016;691.115.356;14;6;255;255;2619540488;2887663221;149;45;1;0;1.730.957.132;100.728.625;1421927419;1421927422;198.502.841;509.158;0.09546;0.047109;0.048351;0;1;1;0;0;5;2;1;2;2;1;1;DoS;1
175.45.176.3;44762;149.171.126.12;80;tcp;FIN;0.232939;828;4004;62;252;2;3;http;2.562.044.141;1.237.748.906;10;10;255;255;1642695991;2571518661;83;400;1;1546;1.238.231.758;1.819.494.123;1421927422;1421927422;25.882.111;25.034.111;0.053678;0.006931;0.046747;0;1;1;0;0;1;1;1;1;1;1;1;Exploits;1
175.45.176.0;4159;149.171.126.18;80;tcp;FIN;0.432056;838;986;62;252;2;2;http;1.397.966.895;164.423.125;10;10;255;255;3972319434;3549329861;84;99;1;49;3.335.436.995;90.561.766;1421927421;1421927422;48.006.222;42.525.668;0.093643;0.048778;0.044865;0;1;1;0;0;5;2;1;2;2;1;1;Exploits;1
59.166.0.5;13987;149.171.126.0;53;udp;CON;0.00106;130;162;31;29;0;0;dns;4.905.660.313;611320.75;2;2;0;0;0;0;65;81;0;0;0;0;1421927422;1421927422;0.018;0.015;0;0;0;0;0;0;0;0;6;9;2;1;1;1;1;;0
59.166.0.7;34944;149.171.126.0;53;udp;CON;0.001073;132;164;31;29;0;0;dns;4.920.782.813;611370;2;2;0;0;0;0;66;82;0;0;0;0;1421927422;1421927422;0.011;0.008;0;0;0;0;0;0;0;0;6;9;2;1;1;1;1;;0
59.166.0.3;40146;149.171.126.4;53;udp;CON;0.001176;132;164;31;29;0;0;dns;4.489.795.938;557.823.125;2;2;0;0;0;0;66;82;0;0;0;0;1421927422;1421927422;0.012;0.009;0;0;0;0;0;0;0;0;7;7;1;1;1;1;1;;0
59.166.0.9;4864;149.171.126.7;53;udp;CON;0.001214;146;178;31;29;0;0;dns;4.810.543.438;5.864.909.375;2;2;0;0;0;0;73;89;0;0;0;0;1421927422;1421927422;0.018;0.012;0;0;0;0;0;0;0;0;5;8;1;1;1;1;1;;0
59.166.0.1;35110;149.171.126.3;53;udp;CON;0.001126;132;164;31;29;0;0;dns;4.689.165.313;582593.25;2;2;0;0;0;0;66;82;0;0;0;0;1421927422;1421927422;0.011;0.008;0;0;0;0;0;0;0;0;6;4;1;1;1;1;1;;0
59.166.0.6;6379;149.171.126.6;53;udp;CON;0.00108;146;178;31;29;0;0;dns;540740.75;6.592.593.125;2;2;0;0;0;0;73;89;0;0;0;0;1421927422;1421927422;0.011;0.008;0;0;0;0;0;0;0;0;12;7;1;1;1;1;1;;0
59.166.0.8;62676;149.171.126.3;53;udp;CON;0.001061;132;164;31;29;0;0;dns;4.976.437.188;618.284.625;2;2;0;0;0;0;66;82;0;0;0;0;1421927423;1421927423;0.011;0.008;0;0;0;0;0;0;0;0;8;4;1;4;2;1;1;;0
59.166.0.8;53247;149.171.126.7;25790;udp;CON;0.00178;520;304;31;29;0;0;-;1752809;1.024.719.063;4;4;0;0;0;0;130;76;0;0;0.642524;0.310193;1421927423;1421927423;0.461333;0.224333;0;0;0;0;0;0;0;0;2;4;2;4;1;1;2;;0
59.166.0.4;61452;149.171.126.0;53;udp;CON;0.001125;146;178;31;29;0;0;dns;519.111.125;6.328.889.375;2;2;0;0;0;0;73;89;0;0;0;0;1421927423;1421927423;0.017;0.013;0;0;0;0;0;0;0;0;5;9;2;1;1;1;1;;0
59.166.0.6;16859;149.171.126.1;53;udp;CON;0.001064;132;164;31;29;0;0;dns;496.240.625;616.541.375;2;2;0;0;0;0;66;82;0;0;0;0;1421927423;1421927423;0.011;0.007;0;0;0;0;0;0;0;0;12;8;1;1;1;1;1;;0
59.166.0.9;30521;149.171.126.6;53;udp;CON;0.001083;146;178;31;29;0;0;dns;539.242.875;6.574.330.625;2;2;0;0;0;0;73;89;0;0;0;0;1421927423;1421927423;0.011;0.008;0;0;0;0;0;0;0;0;5;7;1;1;1;1;1;;0
59.166.0.3;1809;149.171.126.0;53;udp;CON;0.001128;132;164;31;29;0;0;dns;468.085.125;5.815.603.125;2;2;0;0;0;0;66;82;0;0;0;0;1421927423;1421927423;0.011;0.008;0;0;0;0;0;0;0;0;7;9;2;1;1;1;1;;0
59.166.0.8;37848;149.171.126.8;53;udp;CON;0.001166;132;164;31;29;0;0;dns;4.528.301.875;5.626.071.875;2;2;0;0;0;0;66;82;0;0;0;0;1421927423;1421927423;0.018;0.013;0;0;0;0;0;0;0;0;8;6;1;4;2;1;1;;0
59.166.0.8;53697;149.171.126.7;111;udp;CON;0.00468;568;304;31;29;0;0;-;7.282.051.875;3.897.435.938;4;4;0;0;0;0;142;76;0;0;1.760.229;148.045;1421927423;1421927423;1.256.667;1.057.333;0;0;0;0;0;0;0;0;2;4;2;4;1;1;2;;0
